iter	Passed	Remaining
1435	9157	54615
1436	9164	54610
1437	9169	54596
1438	9174	54582
1439	9179	54564
1440	9184	54552
1441	9190	54541
1442	9197	54538
1443	9202	54527
1444	9209	54521
1445	9214	54511
1446	9220	54500
1447	9227	54496
1448	9232	54484
1449	9238	54473
1450	9245	54472
1451	9250	54457
1452	9257	54458
1453	9267	54469
1454	9273	54461
1455	9277	54439
1456	9280	54413
1457	9285	54400
1458	9292	54397
1459	9297	54385
1460	9304	54380
1461	9310	54371
1462	9315	54359
1463	9320	54342
1464	9325	54330
1465	9330	54314
1466	9333	54289
1467	9339	54283
1468	9345	54270
1469	9351	54262
1470	9356	54251
1471	9361	54236
1472	9368	54232
1473	9375	54229
1474	9381	54220
1475	9390	54231
1476	9400	54248
1477	9406	54238
1478	9413	54233
1479	9420	54230
1480	9431	54251
1481	9438	54250
1482	9444	54241
1483	9452	54245
1484	9458	54237
1485	9468	54247
1486	9511	54454
1487	9522	54473
1488	9540	54530
1489	9548	54535
1490	9554	54528
1491	9560	54517
1492	9564	54500
1493	9570	54490
1494	9573	54465
1495	9581	54465
1496	9587	54456
1497	9593	54447
1498	9599	54438
1499	9604	54423
1500	9612	54426
1501	9617	54414
1502	9623	54404
1503	9629	54398
1504	9635	54387
1505	9642	54386
1506	9647	54372
1507	9654	54367
1508	9661	54363
1509	9666	54348
1510	9671	54334
1511	9677	54327
1512	9683	54319
1513	9691	54320
1514	9696	54309
1515	9702	54296
1516	9709	54293
1517	9714	54282
1518	9721	54279
1519	9727	54267
1520	9732	54254
1521	9739	54251
1522	9744	54237
1523	9749	54224
1524	9757	54225
1525	9763	54214
1526	9770	54213
1527	9776	54206
1528	9781	54192
1529	9789	54192
1530	9794	54180
1531	9800	54170
1532	9806	54161
1533	9811	54148
1534	9819	54148
1535	9824	54134
1536	9829	54123
1537	9836	54117
1538	9841	54105
1539	9848	54103
1540	9854	54093
1541	9859	54082
1542	9864	54064
1543	9869	54051
1544	9874	54039
1545	9882	54039
1546	9887	54028
1547	9893	54015
1548	9900	54012
1549	9905	54000
1550	9911	53990
1551	9916	53980
1552	9921	53967
1553	9927	53954
1554	9933	53945
1555	9938	53931
1556	9945	53929
1557	9951	53922
1558	9956	53910
1559	9963	53905
1560	9968	53892
1561	9973	53877
1562	9980	53874
1563	9985	53860
1564	9988	53835
1565	9995	53835
1566	10001	53821
1567	10006	53810
1568	10014	53813
1569	10017	53789
1570	10024	53786
1571	10030	53778
1572	10034	53756
1573	10042	53759
1574	10048	53749
1575	10053	53738
1576	10060	53732
1577	10065	53721
1578	10074	53727
1579	10079	53715
1580	10085	53706
1581	10091	53698
1582	10097	53687
1583	10102	53676
1584	10108	53667
1585	10113	53654
1586	10120	53649
1587	10125	53637
1588	10131	53627
1589	10135	53609
1590	10141	53600
1591	10146	53588
1592	10150	53567
1593	10156	53558
1594	10161	53546
1595	10168	53541
1596	10173	53532
1597	10178	53517
1598	10185	53511
1599	10190	53500
1600	10195	53486
1601	10202	53482
1602	10207	53471
1603	10212	53457
1604	10219	53454
1605	10224	53442
1606	10231	53437
1607	10235	53417
1608	10240	53404
1609	10247	53400
1610	10252	53388
1611	10257	53376
1612	10264	53373
1613	10269	53360
1614	10274	53347
1615	10282	53348
1616	10288	53338
1617	10296	53340
1618	10301	53327
1619	10306	53314
1620	10313	53311
1621	10319	53301
1622	10324	53289
1623	10331	53285
1624	10336	53272
1625	10343	53268
1626	10348	53254
1627	10353	53243
1628	10360	53239
1629	10365	53224
1630	10371	53217
1631	10378	53215
1632	10383	53203
1633	10389	53193
1634	10392	53172
1635	10398	53161
1636	10403	53147
1637	10410	53144
1638	10415	53132
1639	10420	53119
1640	10427	53118
1641	10432	53104
1642	10440	53102
1643	10446	53097
1644	10452	53088
1645	10460	53089
1646	10465	53078
1647	10472	53073
1648	10478	53064
1649	10483	53051
1650	10490	53047
1651	10495	53037
1652	10498	53014
1653	10506	53016
1654	10512	53007
1655	10515	52985
1656	10520	52973
1657	10526	52960
1658	10531	52948
1659	10538	52946
1660	10544	52936
1661	10551	52934
1662	10556	52923
1663	10561	52911
1664	10568	52907
1665	10573	52895
1666	10582	52901
1667	10588	52893
1668	10594	52883
1669	10601	52879
1670	10606	52867
1671	10611	52852
1672	10618	52850
1673	10624	52841
1674	10630	52836
1675	10636	52827
